playerID,inducted,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,SH,SF,GIDP,AVG,PO,A,E,DP,W,L,CG,SHO,SV,H_allowed,ER,HR_allowed,BB_allowed,StruckOut,BAOpp,ERA,WP,HitBatsmen,BK,R_allowed,SH_allowed,SF_allowed,GIDP_pitcher,award_count
abbotji01,N,0,2,0,0,0,3,0,0,0,10,0,3,0,0,0.0952380952380952,72,300,9,16,87,108,31,6,0,1779,791,154,620,888,0.280363636363636,4.49636363636364,53,32,11,880,70,47,200,2
adamsba01,N,79,216,31,15,3,75,1,1,53,194,0,35,0,0,0.211972522080471,58,648,17,17,194,140,206,44,15,2841,917,68,430,1036,0.256666666666667,3.73368421052632,26,47,2,1129,0,0,0,2
akerja01,N,3,7,2,0,0,4,0,0,1,51,0,10,0,1,0.0760869565217391,65,167,8,20,47,45,0,0,123,679,272,64,274,404,0.253571428571429,3.85428571428571,13,40,0,312,32,12,19,1
alexape01,Y,154,378,60,13,11,163,3,5,77,276,0,88,0,0,0.208839779005525,189,1419,25,50,373,208,437,90,32,4868,1476,164,951,2198,0.253809523809524,2.97238095238095,39,70,1,1851,0,0,0,21
allenjo02,N,82,124,12,3,4,64,1,0,33,155,0,36,0,8,0.173184357541899,104,366,21,24,142,75,109,17,18,1849,813,104,738,1070,0.244666666666667,3.76533333333333,68,38,5,924,0,0,0,4
alouma01,N,780,1777,236,50,31,427,156,80,311,377,38,55,29,101,0.306961478666436,3794,176,71,155,0,0,0,0,0,3,0,0,1,3,0.33,0,0,0,0,0,0,0,0,1
bahnsst01,N,22,56,8,2,1,19,0,0,19,225,0,43,1,4,0.116910229645094,154,414,35,26,146,149,73,16,20,2440,1013,223,924,1359,0.251526315789474,3.81578947368421,89,34,3,1127,79,61,111,1
bandosa01,N,982,1790,289,38,242,1039,75,46,1031,923,69,65,57,149,0.253541076487252,1788,3743,231,362,0,0,0,0,0,3,2,0,0,0,0.231,6,0,0,0,2,0,0,0,2
beckro01,N,0,4,0,0,0,1,0,0,0,10,0,1,0,0,0.210526315789474,39,96,4,7,38,45,0,0,286,703,282,97,191,644,0.243714285714286,3.54571428571429,23,20,3,308,34,26,40,1
bedrost01,N,3,15,0,0,0,2,0,0,3,58,0,12,0,0,0.0980392156862745,64,122,10,11,76,79,0,0,184,1026,447,114,518,921,0.2296,3.47866666666667,33,27,4,496,44,39,86,3
bendech01,Y,102,243,40,10,6,116,20,0,75,143,0,42,0,0,0.211857018308631,237,814,59,27,212,127,255,40,34,2645,823,40,712,1711,1.47375,3.444375,72,102,5,1110,0,0,0,3
benitar01,N,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,31,40,7,1,40,47,0,0,289,545,271,95,403,946,0.202,3.37,18,16,5,296,24,22,47,2
bentola01,N,54,122,12,2,2,42,1,0,30,181,0,52,0,2,0.165311653116531,93,469,22,33,127,128,122,13,22,2559,1029,109,691,670,0.294,4.60466666666667,47,25,1,1190,0,0,0,2
bibbyji01,N,15,31,6,0,5,17,0,0,13,88,0,24,1,1,0.148325358851675,88,216,20,16,111,101,56,19,8,1565,719,131,723,1079,0.250357142857143,4.22285714285714,70,40,13,800,61,52,119,1
blackew01,N,31,77,12,1,1,22,0,0,12,73,0,28,0,8,0.173814898419865,46,311,19,20,82,78,69,15,10,1150,484,67,562,839,0.235454545454545,3.85909090909091,28,44,2,562,0,0,0,3
bluevi01,N,37,53,9,0,4,15,0,2,49,271,0,53,1,2,0.103515625,127,427,19,21,209,161,143,37,2,2939,1213,263,1185,2175,0.236823529411765,3.51882352941176,103,23,13,1357,149,97,218,6
boddimi01,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,245,366,32,37,134,116,63,16,3,2082,897,188,721,1330,0.259066666666667,4.1,60,87,8,992,54,50,194,3
boggswa01,Y,1513,3010,578,61,118,1014,24,35,1412,745,180,29,96,236,0.327886710239651,2115,4304,232,472,0,0,0,0,0,3,1,0,1,2,0.2145,3.375,0,0,0,1,0,0,0,17
bondto01,N,213,471,53,11,0,174,5,1,22,63,0,0,0,7,0.238481012658228,336,928,138,32,234,163,386,42,0,3765,862,50,193,972,,2.83727272727273,143,2,0,1931,0,0,0,1
bonilbo01,N,1084,2010,408,61,287,1173,45,57,912,1204,128,5,97,169,0.27866352419243,3045,1869,230,251,0,0,0,0,0,3,2,1,1,0,0.6,18,0,0,1,2,0,0,1,6
brechha01,N,48,129,13,5,2,44,0,0,45,121,0,24,0,16,0.191679049034175,78,376,8,22,133,92,125,25,18,1731,618,117,536,901,0.230833333333333,2.70416666666667,18,37,5,701,0,0,0,5
bresnro01,Y,682,1252,218,71,26,530,212,3,714,403,0,112,0,0,0.279401919214461,5138,1416,241,138,4,1,3,1,0,68,22,1,15,15,,3.31666666666667,0,3,0,30,0,0,0,5
bridgto01,N,83,181,27,8,0,72,0,0,74,271,0,65,0,6,0.180458624127617,144,469,24,23,194,138,200,33,10,2675,1122,181,1192,1674,0.24625,3.720625,59,35,8,1321,0,0,0,6
brownke01,N,20,64,10,0,2,29,0,0,19,187,0,54,2,2,0.129292929292929,388,562,49,37,211,144,72,17,0,3079,1185,208,901,2397,0.260684210526316,3.55263157894737,108,139,15,1357,95,64,330,2
brownmo01,Y,93,235,20,11,2,74,8,0,44,199,0,49,0,0,0.205599300087489,173,843,36,43,239,130,271,55,49,2708,725,43,673,1375,4.43571428571429,2.37,59,63,4,1044,0,0,0,4
bunniji01,Y,82,213,21,4,7,75,0,2,34,362,0,85,6,36,0.167058823529412,206,372,23,20,224,184,151,40,16,3433,1366,372,1000,2855,0.245055555555556,3.56555555555556,47,160,8,1527,24,16,0,2
burdele01,N,101,185,27,4,12,75,2,0,32,271,0,63,6,14,0.182987141444115,245,622,27,55,203,144,158,33,31,3186,1246,289,628,1074,0.280952380952381,4.06904761904762,23,56,7,1400,0,0,0,2
bushjo01,N,128,313,59,17,7,137,4,4,53,192,0,24,0,0,0.252623083131558,213,839,34,50,195,183,225,35,20,2992,1205,96,1263,1319,0.278947368421053,4.73631578947368,90,62,1,1443,0,0,0,2
camniho01,N,42,92,6,1,1,32,1,0,37,204,0,53,0,0,0.13589364844904,63,486,31,8,133,106,137,20,15,1852,637,41,656,915,3.50166666666667,2.98916666666667,37,65,1,857,0,0,0,1
campabe01,N,1181,2249,313,86,79,646,649,199,618,1142,15,199,60,106,0.258982035928144,3789,6323,388,1215,0,0,0,0,0,1,1,0,2,1,0.33,9,0,0,0,1,0,0,0,3
campbbi02,N,2,4,0,0,0,2,0,1,4,10,0,0,0,1,0.153846153846154,119,172,13,11,83,68,2,1,126,1139,484,82,495,864,0.2566,3.91733333333333,47,20,6,550,88,41,84,4
cansejo01,N,1186,1877,340,14,462,1407,200,88,906,1942,63,1,81,178,0.265977044069718,2003,63,62,19,0,0,0,0,0,2,3,0,3,0,0.5,27,0,0,0,3,0,1,0,11
carltst01,Y,123,346,49,6,13,140,2,2,41,413,0,94,13,33,0.201279813845259,109,724,42,36,329,244,254,55,2,4672,1864,414,1833,4136,0.254555555555556,3.9862962962963,183,53,90,2130,203,103,287,17
carpech01,N,18,52,8,0,2,21,0,1,12,144,0,47,1,5,0.118451025056948,185,251,10,32,144,94,33,15,0,2205,927,220,627,1697,0.271533333333333,4.04866666666667,51,85,3,1021,75,48,223,3
carrocl02,N,17,27,0,0,1,7,0,0,7,65,0,30,0,3,0.129807692307692,60,310,11,24,96,73,1,0,143,1296,442,67,442,681,0.252235294117647,3.09352941176471,41,37,5,506,56,24,54,1
chandsp01,N,53,110,18,2,9,45,0,1,20,154,0,33,0,9,0.200729927007299,106,385,10,28,109,43,109,26,6,1327,468,64,463,614,0.25,3.20272727272727,20,19,5,549,0,0,0,7
chaseha01,N,980,2158,322,124,57,941,363,15,276,580,0,216,0,0,0.290953215585816,18346,1131,423,945,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,9
clarkjo01,Y,254,432,73,26,24,232,31,0,81,382,0,4,0,0,0.218844984802432,239,1151,178,45,328,178,485,37,5,4295,1417,159,1191,1978,,3.02307692307692,182,80,0,2384,0,0,0,1
clemero02,N,5,31,6,0,0,12,0,0,13,61,0,18,1,3,0.173184357541899,320,575,25,31,354,184,118,46,0,4185,1707,363,1580,4672,0.230833333333333,3.22083333333333,143,159,20,1885,119,103,329,22
cobbty01,Y,2247,4189,724,295,117,1944,896,178,1249,608,0,292,0,0,0.366299405386499,6507,410,278,113,0,0,0,0,1,6,2,0,2,0,0.2,2.25,0,0,0,2,0,0,0,31
colavro01,N,971,1730,283,21,374,1159,19,27,951,880,58,16,60,182,0.266031062586499,3407,124,74,31,1,0,0,0,0,1,0,0,5,2,0.055,0,0,0,1,0,0,0,0,1
conceda01,N,993,2326,389,48,101,950,321,109,736,1186,93,74,86,266,0.26665138140548,4245,7024,326,1390,0,0,0,0,0,2,0,0,0,1,0.333,0,0,0,0,0,0,0,0,11
coneda01,N,28,64,9,0,0,22,0,1,16,91,0,38,1,8,0.155339805825243,220,271,28,17,194,126,56,22,1,2504,1115,258,1137,2668,0.237210526315789,3.72842105263158,149,106,32,1222,76,82,138,3
coombja01,N,123,261,34,10,4,100,21,2,59,154,0,23,0,0,0.235135135135135,258,516,25,25,158,110,187,35,8,2034,717,38,841,1052,0.26,3.49142857142857,54,88,1,925,0,0,0,3
coopemo01,N,50,127,16,0,6,68,0,0,23,118,0,43,0,14,0.194189602446483,50,270,16,20,128,75,128,33,14,1666,607,85,571,913,0.298461538461538,3.29416666666667,28,28,7,703,0,0,0,11
coopewi01,N,111,293,34,17,6,106,12,9,47,140,0,38,0,0,0.23879380603097,102,785,42,27,216,178,279,35,14,3415,1119,103,853,1252,0.26875,3.435,44,100,0,1406,0,0,0,5
covelst01,Y,70,168,26,10,1,81,0,1,53,304,0,72,0,0,0.158790170132325,174,851,29,45,215,142,224,38,21,3055,990,66,802,981,0.259285714285714,3.13571428571429,35,30,1,1237,0,0,0,3
cramedo01,N,1357,2705,396,109,37,842,62,73,572,345,0,180,0,99,0.295951859956236,5413,174,118,38,0,0,0,0,0,3,2,0,3,1,0.21,4.5,0,0,0,2,0,0,0,2
crowdal01,N,66,164,18,5,0,59,0,1,37,77,0,44,0,0,0.193624557260921,56,387,7,22,167,115,150,16,22,2453,1072,136,800,799,0.271428571428571,4.585,20,16,3,1204,0,0,0,5
cuellmi01,N,37,76,8,4,7,33,0,0,9,304,0,43,2,5,0.114977307110439,108,453,30,33,185,130,172,36,11,2538,979,222,822,1632,0.270133333333333,5.146,53,12,6,1130,94,45,91,3
darkal01,N,1064,2089,358,72,126,757,59,27,430,534,20,95,31,134,0.289375259731265,3174,4854,342,1012,0,0,0,0,0,1,2,1,1,0,0.25,18,0,0,0,2,0,0,0,4
darliro01,N,39,76,21,2,2,21,1,0,15,175,0,65,1,2,0.144486692015209,177,391,37,37,136,116,37,13,0,2244,1016,239,906,1590,0.258733333333333,4.186,97,59,24,1139,95,73,166,1
davalvi01,N,510,1122,160,37,36,329,125,58,212,422,29,32,25,43,0.279312920089619,2389,82,36,45,0,0,0,0,0,2,1,0,2,0,1,,0,0,0,1,0,0,0,1
daviscu01,N,70,165,17,0,11,81,1,0,28,176,0,63,0,19,0.202952029520295,146,616,21,39,158,131,141,24,33,2459,884,142,479,684,0.276666666666667,4.25,20,47,2,1033,0,0,0,2
davisma01,N,16,26,3,4,1,9,1,1,8,54,0,24,0,0,0.155688622754491,29,151,16,10,51,84,4,2,96,1068,530,129,534,1007,0.255722222222222,4.67888888888889,63,28,12,582,60,44,90,5
deandi01,Y,76,161,23,4,8,76,5,0,9,104,0,39,0,12,0.224546722454672,76,283,15,15,150,83,154,26,30,1919,661,95,453,1163,0.2525,3.93666666666667,12,27,5,774,0,0,0,14
dempsri01,N,525,1093,223,12,96,471,20,19,592,736,13,63,42,131,0.232949701619778,7402,771,100,114,0,0,0,0,0,3,1,0,1,0,0.333,4.5,0,0,0,1,0,0,0,2
dennyjo01,N,44,97,9,2,0,29,9,5,19,164,0,63,3,4,0.170175438596491,179,451,32,46,123,108,62,18,0,2093,856,137,778,1146,0.256857142857143,3.445,68,54,12,967,82,46,250,3
derripa01,N,70,220,30,3,2,102,0,0,16,219,0,77,0,27,0.174603174603175,153,656,26,30,223,212,251,32,29,3912,1401,158,761,1507,0.27375,3.53125,50,32,2,1652,0,0,0,9
donlimi01,N,669,1282,176,97,51,543,213,0,312,311,0,96,0,0,0.332641411520498,2416,165,176,60,0,1,0,0,0,16,13,1,14,6,,3.815,0,1,0,15,0,0,0,3
donovbi01,N,142,251,30,11,7,95,36,0,77,321,0,55,0,0,0.192780337941628,385,684,65,29,185,139,289,35,8,2631,886,30,1059,1552,0.226,2.82722222222222,69,90,0,1212,0,0,0,1
drabedo01,N,42,119,17,3,2,46,0,1,17,207,0,66,2,5,0.166201117318436,266,342,29,20,155,134,53,21,0,2448,1052,246,704,1594,0.257307692307692,3.95846153846154,80,53,6,1141,97,69,177,3
drysddo01,Y,96,218,26,7,29,113,0,2,60,370,0,69,6,34,0.186484174508127,188,686,59,55,209,166,167,49,6,3084,1124,280,855,2486,0.24,3.04714285714286,82,154,10,1292,0,0,0,4
dykesji01,N,1108,2256,453,90,108,1071,70,55,958,850,0,228,0,0,0.280387770320656,4901,5139,429,731,0,0,0,0,1,2,1,0,1,0,0.33,4.5,0,0,0,1,0,0,0,1
earnsge01,N,61,162,29,4,3,70,1,0,20,125,0,44,0,5,0.230113636363636,71,371,30,17,127,93,115,18,12,1981,933,142,809,1002,0.277272727272727,5.02818181818182,55,25,2,1063,0,0,0,6
eckerde01,Y,9,24,3,0,3,12,0,0,9,84,0,5,1,1,0.132596685082873,208,365,31,20,197,171,100,20,390,3076,1278,347,738,2401,0.24252,3.4704,28,75,16,1382,109,93,146,9
ehmkeho01,N,71,210,38,6,0,73,5,1,26,111,0,53,0,0,0.20812685827552,143,853,44,35,166,166,199,20,14,2873,1174,103,1042,1030,0.881875,4.305625,28,137,8,1425,0,0,0,1
faberre01,Y,98,170,21,2,3,70,7,0,169,479,0,104,0,0,0.133963750985028,130,1108,71,33,254,213,273,29,28,4106,1430,111,1213,1471,0.264,3.225,52,103,2,1813,0,0,0,2
facero01,N,9,31,3,0,0,7,0,0,2,47,0,18,0,3,0.15979381443299,104,212,14,15,104,95,6,0,193,1347,531,141,362,877,0.268235294117647,3.15823529411765,32,14,2,591,0,0,0,1
falkecy01,N,49,117,11,4,1,47,7,0,39,254,0,43,0,0,0.151750972762646,100,727,52,26,130,123,180,27,8,2090,678,23,690,1164,5.12833333333333,2.85,93,69,0,960,0,0,0,1
fellebo01,Y,99,193,28,13,8,99,1,2,100,505,0,100,0,15,0.150546021840874,146,510,25,28,266,162,279,44,21,3271,1384,224,1764,2581,0.229444444444444,3.38222222222222,75,60,13,1557,0,0,0,18
ferrewe01,N,175,329,57,12,38,208,2,0,129,185,0,40,0,0,0.279761904761905,153,533,17,31,193,128,227,17,13,2845,1177,132,1040,985,0.291764705882353,5.95529411764706,35,23,6,1382,0,0,0,10
fingero01,Y,10,31,3,0,2,9,0,0,3,45,0,18,0,2,0.172222222222222,108,253,14,23,114,118,4,2,341,1474,549,123,492,1299,0.254058823529412,4.31470588235294,40,39,7,615,78,64,75,11
finlech01,N,3,3,1,0,0,1,0,0,0,26,0,6,0,1,0.0566037735849057,122,325,46,25,200,173,63,15,0,3069,1366,304,1332,2610,0.255444444444444,3.92833333333333,130,76,22,1517,104,85,305,2
finlest01,N,1443,2548,449,124,304,1167,320,118,844,1299,69,91,75,152,0.271150367138448,5664,134,72,38,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5
fisheed02,N,11,30,5,1,0,8,0,0,10,97,0,19,0,6,0.121951219512195,107,262,17,17,85,70,7,2,81,1398,583,149,438,812,0.241722222222222,3.57722222222222,53,27,1,659,15,14,9,1
fitzsfr01,N,112,231,35,7,14,103,0,0,36,177,0,58,0,15,0.2,237,942,28,79,217,146,186,29,13,3335,1257,186,846,870,0.2705,4.1565,58,33,3,1505,0,0,0,1
flanami01,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,89,430,11,26,167,143,101,19,4,2806,1199,251,890,1491,0.270263157894737,4.06894736842105,84,41,12,1301,110,76,301,3
fonsele01,N,518,1075,203,50,31,485,64,36,186,199,0,111,0,0,0.315804935370153,4799,1459,109,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
fordwh01,Y,91,177,19,0,3,69,3,2,113,224,0,65,4,10,0.173020527859238,173,630,33,49,236,106,156,45,10,2766,967,228,1086,1956,0.23125,2.6725,75,28,5,1107,0,0,0,10
forscbo01,N,77,190,45,8,12,84,3,1,27,249,0,115,5,14,0.212765957446809,234,405,18,35,168,136,67,19,3,2777,1169,216,832,1133,0.268058823529412,4.03176470588235,93,45,18,1319,106,101,270,2
foxxji01,Y,1751,2646,458,125,534,1922,87,72,1452,1311,0,71,0,69,0.325301204819277,17797,1562,192,1553,1,0,0,0,0,13,4,0,14,11,0.085,0.795,0,1,0,4,0,0,0,22
francjo01,N,2,3,0,0,0,1,0,0,0,14,0,3,0,0,0.0882352941176471,63,234,11,13,90,87,0,0,424,1166,400,81,495,975,0.253952380952381,3.13380952380952,54,22,9,466,82,31,116,6
gaettga01,N,1130,2280,443,39,360,1341,96,65,634,1602,57,32,104,236,0.254720143000782,2607,4623,237,548,0,0,0,0,0,5,2,1,1,1,0.433333333333333,6,0,1,0,2,0,0,0,6
gagneer01,N,5,12,2,1,1,3,0,1,1,25,0,12,0,2,0.13953488372093,38,64,1,4,33,26,0,0,187,518,248,76,226,718,0.197636363636364,3.12818181818182,18,33,1,268,24,15,32,6
gibsobo01,Y,132,274,44,5,24,144,13,10,63,415,0,72,18,13,0.206325301204819,291,484,42,46,251,174,255,56,6,3279,1258,257,1336,3117,0.231941176470588,3.14588235294118,108,102,13,1420,62,43,46,19
giustda01,N,29,77,10,2,4,46,0,0,23,99,0,27,0,5,0.186893203883495,134,264,15,11,100,93,35,9,145,1654,687,126,570,1103,0.2526875,3.63625,87,15,7,764,47,23,27,1
glavito02,Y,93,246,25,2,1,90,1,0,101,329,0,216,3,14,0.1859410430839,262,856,26,67,305,203,56,25,0,4298,1734,356,1500,2607,0.259772727272727,3.70636363636364,65,66,7,1900,228,113,420,14
gomezle01,Y,59,133,11,0,0,58,1,1,50,252,0,68,0,5,0.14712389380531,56,393,20,20,189,102,173,28,9,2290,930,138,1095,1468,0.246428571428571,3.92857142857143,39,19,0,1091,0,0,0,11
goodedw01,N,60,145,15,5,8,67,1,1,14,135,0,85,6,13,0.195681511470985,224,423,34,35,194,112,68,24,3,2564,1091,210,954,2293,0.257944444444444,4.225,76,78,33,1198,84,68,197,6
gordoto01,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,268,20,23,138,126,18,4,158,1889,927,176,977,1928,0.244318181818182,4.72272727272727,112,38,5,1016,58,69,163,2
gossari01,Y,1,9,1,0,0,2,0,0,4,37,0,4,0,2,0.105882352941176,78,180,21,11,124,107,16,0,310,1497,605,119,732,1502,0.233304347826087,3.2,63,47,5,670,106,67,124,3
gracema01,N,1179,2445,511,45,173,1146,70,48,1075,642,114,17,99,192,0.303161810291383,18503,1665,110,1533,0,0,0,0,0,1,1,1,0,0,0.25,9,0,0,0,1,0,0,0,4
grantmu01,N,80,135,25,2,6,65,2,1,37,214,0,48,7,14,0.177865612648221,162,376,19,40,145,119,89,18,53,2292,985,292,849,1267,0.247333333333333,3.60555555555556,60,33,3,1105,15,2,0,2
grimebu01,Y,157,380,62,11,2,168,15,4,69,241,0,76,0,1,0.247557003257329,225,1252,71,74,270,212,314,35,18,4412,1638,148,1295,1512,0.269130434782609,3.95304347826087,92,97,12,2048,0,0,0,11
